seed_id,entry_id,title,method,resolution,chain_id,chain_length,sample_index,design_score,design_score_std,global_score,global_score_std,original_design_score,original_global_score,seq_recovery,score_runs
MOUSE_GPX6_level03_chainA,7L8R,Crystal structure of human GPX4-U46C mutant K48A,X-RAY DIFFRACTION,,A,164,2,0.8677133584022522,0.018774536288431988,0.8677133584022522,0.018774536288431988,0.7596,0.7596,0.5549,100
MOUSE_GPX6_level03_chainA,2OBI,Crystal structure of the Selenocysteine to Cysteine Mutant of human phospholipid hydroperoxide glutathione peroxidase (GPx4),X-RAY DIFFRACTION,,A,165,1,0.8798008060455322,0.018338416042915032,0.8798008060455322,0.018338416042915032,0.7937,0.7937,0.503,100
MOUSE_GPX6_level03_chainA,2OBI,Crystal structure of the Selenocysteine to Cysteine Mutant of human phospholipid hydroperoxide glutathione peroxidase (GPx4),X-RAY DIFFRACTION,,A,165,2,0.8346106505393982,0.017125212199228208,0.8346106505393982,0.017125212199228208,0.7786,0.7786,0.5152,100
MOUSE_GPX6_level04_chainA,7U4L,Crystal structure of human GPX4-U46C in complex with MAC-5576,X-RAY DIFFRACTION,,B,166,1,0.826779356598854,0.015359306697896445,0.826779356598854,0.015359306697896445,0.7561,0.7561,0.5482,100
MOUSE_GPX6_level04_chainA,7U4L,Crystal structure of human GPX4-U46C in complex with MAC-5576,X-RAY DIFFRACTION,,B,166,2,0.8546940505504608,0.016167221548306077,0.8546940505504608,0.016167221548306077,0.7889,0.7889,0.494,100
MOUSE_GPX6_level04_chainA,7U4M,Crystal structure of human GPX4-U46C in complex with LOC1886,X-RAY DIFFRACTION,,A,171,1,0.8616725218296051,0.016342650318688135,0.8616725218296051,0.016342650318688135,0.7839,0.7839,0.5556,100
MOUSE_GPX6_level04_chainA,7U4M,Crystal structure of human GPX4-U46C in complex with LOC1886,X-RAY DIFFRACTION,,A,171,2,0.9023493826389313,0.01629605045849982,0.9023493826389313,0.01629605045849982,0.8261,0.8261,0.5205,100
MOUSE_GPX6_level04_chainA,7U4N,Crystal structure of human GPX4-U46C in complex with RSL3,X-RAY DIFFRACTION,,B,165,1,0.8483736062049866,0.01708553363946671,0.8483736062049866,0.01708553363946671,0.7771,0.7771,0.5091,100
MOUSE_GPX6_level04_chainA,7U4N,Crystal structure of human GPX4-U46C in complex with RSL3,X-RAY DIFFRACTION,,B,165,2,0.8820597046613693,0.016390707616496084,0.8820597046613693,0.016390707616496084,0.8139,0.8139,0.497,100
MOUSE_GPX6_level05_chainA,7L8K,Crystal structure of human GPX4-U46C,X-RAY DIFFRACTION,,A,164,1,0.865352863073349,0.015137642330196635,0.865352863073349,0.015137642330196635,0.7743,0.7743,0.4634,100
MOUSE_GPX6_level05_chainA,7L8K,Crystal structure of human GPX4-U46C,X-RAY DIFFRACTION,,A,164,2,0.8625483936071396,0.018740898024665158,0.8625483936071396,0.018740898024665158,0.7613,0.7613,0.5122,100
MOUSE_GPX6_level05_chainA,7U4K,Crystal structure of human GPX4-U46C-R152H in complex with ML162,X-RAY DIFFRACTION,,A,166,1,0.8621720290184021,0.018557423840302376,0.8621720290184021,0.018557423840302376,0.7903,0.7903,0.494,100
MOUSE_GPX6_level05_chainA,7U4K,Crystal structure of human GPX4-U46C-R152H in complex with ML162,X-RAY DIFFRACTION,,A,166,2,0.843779028058052,0.016879410507230724,0.843779028058052,0.016879410507230724,0.7741,0.7741,0.512,100
MOUSE_GPX6_level05_chainA,8Q8J,Crystal structure of human GPX4-R152H,X-RAY DIFFRACTION,,A,165,1,0.8589826208353043,0.019163460905079453,0.8589826208353043,0.019163460905079453,0.7707,0.7707,0.503,100
MOUSE_GPX6_level05_chainA,8Q8J,Crystal structure of human GPX4-R152H,X-RAY DIFFRACTION,,A,165,2,0.8683269488811493,0.01903592167412142,0.8683269488811493,0.01903592167412142,0.7881,0.7881,0.4485,100
MOUSE_GPX6_level06_chainA,8XYS,De novo designed protein GPX4-1,X-RAY DIFFRACTION,,A,165,1,0.9356881248950958,0.019787474769938432,0.9356881248950958,0.019787474769938432,0.8523,0.8523,0.5152,100
MOUSE_GPX6_level06_chainA,8XYS,De novo designed protein GPX4-1,X-RAY DIFFRACTION,,A,165,2,0.8970276236534118,0.013216612030391855,0.8970276236534118,0.013216612030391855,0.8389,0.8389,0.503,100
MOUSE_GPX6_level06_chainA,9J6L,Solution structure of human Glutathione Peroxidase 4 (Sec73Cys) with eight mutations,SOLUTION NMR,,A,174,1,0.9963503503799438,0.01693908246533175,0.9963503503799438,0.01693908246533175,0.9086,0.9086,0.3506,100
MOUSE_GPX6_level06_chainA,9J6L,Solution structure of human Glutathione Peroxidase 4 (Sec73Cys) with eight mutations,SOLUTION NMR,,A,174,2,1.0193653231859208,0.01842287291661138,1.0193653231859208,0.01842287291661138,0.9092,0.9092,0.3448,100
MOUSE_GPX6_level06_chainA,9RF1,Structure of human GPX4-U46C-R152K mutant,X-RAY DIFFRACTION,,A,172,1,0.8776423901319503,0.01915022277366304,0.8776423901319503,0.01915022277366304,0.7897,0.7897,0.5058,100
MOUSE_GPX6_level06_chainA,9RF1,Structure of human GPX4-U46C-R152K mutant,X-RAY DIFFRACTION,,A,172,2,0.8292265403270721,0.01588436535055967,0.8292265403270721,0.01588436535055967,0.7727,0.7727,0.5,100
MOUSE_GPX6_level07_chainA,8Q8N,Crystal structure of human GPX4-U46C-I129S-L130S,X-RAY DIFFRACTION,,A,165,1,0.855562436580658,0.0183933833901911,0.855562436580658,0.0183933833901911,0.7545,0.7545,0.497,100
MOUSE_GPX6_level07_chainA,8Q8N,Crystal structure of human GPX4-U46C-I129S-L130S,X-RAY DIFFRACTION,,A,165,2,0.8793147951364517,0.017708380043822504,0.8793147951364517,0.017708380043822504,0.7885,0.7885,0.503,100
MOUSE_GPX6_level07_chainA,8XYU,De novo designed protein GPX4-3,X-RAY DIFFRACTION,,A,169,1,0.8182384830713272,0.018023116624373593,0.8182384830713272,0.018023116624373593,0.7598,0.7598,0.5385,100
MOUSE_GPX6_level07_chainA,8XYU,De novo designed protein GPX4-3,X-RAY DIFFRACTION,,A,169,2,0.8121347242593765,0.014967559267576137,0.8121347242593765,0.014967559267576137,0.7551,0.7551,0.5089,100
MOUSE_GPX6_level07_chainA,2GS3,Crystal structure of the selenocysteine to glycine mutant of human glutathione peroxidase 4(GPX4),X-RAY DIFFRACTION,,A,171,1,0.8576128560304642,0.01916878787972028,0.8576128560304642,0.01916878787972028,0.7433,0.7433,0.5205,100
MOUSE_GPX6_level07_chainA,2GS3,Crystal structure of the selenocysteine to glycine mutant of human glutathione peroxidase 4(GPX4),X-RAY DIFFRACTION,,A,171,2,0.8617181706428528,0.017958062945878765,0.8617181706428528,0.017958062945878765,0.7634,0.7634,0.4912,100
MOUSE_GPX6_level08_chainA,8XYT,De novo designed protein GPX4-4,X-RAY DIFFRACTION,,A,165,1,0.8895910000801086,0.017757994778476928,0.8895910000801086,0.017757994778476928,0.8286,0.8286,0.503,100
MOUSE_GPX6_level08_chainA,8XYT,De novo designed protein GPX4-4,X-RAY DIFFRACTION,,A,165,2,0.9218679410219193,0.014590101529541852,0.9218679410219193,0.014590101529541852,0.8327,0.8327,0.5273,100
MOUSE_GPX6_level08_chainA,5L71,Crystal structure of mouse phospholipid hydroperoxide glutathione peroxidase 4 (GPx4),X-RAY DIFFRACTION,,A,165,1,0.8377932357788086,0.018820726783689137,0.8377932357788086,0.018820726783689137,0.7612,0.7612,0.5212,100
MOUSE_GPX6_level08_chainA,5L71,Crystal structure of mouse phospholipid hydroperoxide glutathione peroxidase 4 (GPx4),X-RAY DIFFRACTION,,A,165,2,0.8809297418594361,0.016385996242210064,0.8809297418594361,0.016385996242210064,0.8073,0.8073,0.4909,100
MOUSE_GPX6_level08_chainA,8XYR,De novo designed protein GPX4-2,X-RAY DIFFRACTION,,A,165,1,0.8560109782218933,0.016874931312959574,0.8560109782218933,0.016874931312959574,0.8027,0.8027,0.5333,100
MOUSE_GPX6_level08_chainA,8XYR,De novo designed protein GPX4-2,X-RAY DIFFRACTION,,A,165,2,0.8862183445692062,0.014958914562602016,0.8862183445692062,0.014958914562602016,0.7973,0.7973,0.5273,100
MOUSE_GPX6_level09_chainA,3CYN,The structure of human GPX8,X-RAY DIFFRACTION,,C,176,1,0.849683051109314,0.01573711290110155,0.849683051109314,0.01573711290110155,0.7911,0.7911,0.4716,100
MOUSE_GPX6_level09_chainA,3CYN,The structure of human GPX8,X-RAY DIFFRACTION,,C,176,2,0.842650226354599,0.014136498421217943,0.842650226354599,0.014136498421217943,0.7919,0.7919,0.4716,100
MOUSE_GPX6_level09_chainA,3KIJ,Crystal structure of the human PDI-peroxidase,X-RAY DIFFRACTION,,A,171,1,0.8919000738859176,0.017934927872068355,0.8919000738859176,0.017934927872068355,0.8147,0.8147,0.4737,100
MOUSE_GPX6_level09_chainA,3KIJ,Crystal structure of the human PDI-peroxidase,X-RAY DIFFRACTION,,A,171,2,0.851926994919777,0.014779385758573965,0.851926994919777,0.014779385758573965,0.7676,0.7676,0.4269,100
MOUSE_GPX6_level09_chainA,2P31,Crystal structure of human glutathione peroxidase 7,X-RAY DIFFRACTION,,A,155,1,0.8858425998687744,0.02016505116533143,0.8858425998687744,0.02016505116533143,0.7993,0.7993,0.4774,100
MOUSE_GPX6_level09_chainA,2P31,Crystal structure of human glutathione peroxidase 7,X-RAY DIFFRACTION,,A,155,2,0.88219944357872,0.01890002261455815,0.88219944357872,0.01890002261455815,0.8053,0.8053,0.4581,100
MOUSE_GPX6_level10_chainA,2WGR,Combining crystallography and molecular dynamics: The case of Schistosoma mansoni phospholipid glutathione peroxidase,X-RAY DIFFRACTION,,A,163,1,0.8916913056373597,0.016849687563840376,0.8916913056373597,0.016849687563840376,0.8191,0.8191,0.4724,100
MOUSE_GPX6_level10_chainA,2WGR,Combining crystallography and molecular dynamics: The case of Schistosoma mansoni phospholipid glutathione peroxidase,X-RAY DIFFRACTION,,A,163,2,0.8832743316888809,0.017048448731410443,0.8832743316888809,0.017048448731410443,0.7999,0.7999,0.5153,100
MOUSE_GPX6_level10_chainA,2VUP,Crystal structure of a type II tryparedoxin-dependant peroxidase from Trypanosoma brucei,X-RAY DIFFRACTION,,A,164,1,0.8456978207826614,0.014507007792424672,0.8456978207826614,0.014507007792424672,0.7892,0.7892,0.5122,100
MOUSE_GPX6_level10_chainA,2VUP,Crystal structure of a type II tryparedoxin-dependant peroxidase from Trypanosoma brucei,X-RAY DIFFRACTION,,A,164,2,0.8385679286718368,0.01274684924025601,0.8385679286718368,0.01274684924025601,0.7721,0.7721,0.4878,100
MOUSE_GPX6_level10_chainA,9KZM,Crystal structure of C36S mutant Glutathione peroxidase of Staphylococcus aureus.,X-RAY DIFFRACTION,,A,158,1,0.7959297823905945,0.014673580570566553,0.7959297823905945,0.014673580570566553,0.7312,0.7312,0.538,100
MOUSE_GPX6_level10_chainA,9KZM,Crystal structure of C36S mutant Glutathione peroxidase of Staphylococcus aureus.,X-RAY DIFFRACTION,,A,158,2,0.7965014070272446,0.013839326578351548,0.7965014070272446,0.013839326578351548,0.7518,0.7518,0.557,100
MOUSE_GPX6_level11_chainA,2RM5,"Glutathione peroxidase-type tryparedoxin peroxidase, oxidized form",SOLUTION NMR,,A,167,1,1.0678411412239075,0.017653128083619542,1.0678411412239075,0.017653128083619542,0.9894,0.9894,0.3593,100
MOUSE_GPX6_level11_chainA,2RM5,"Glutathione peroxidase-type tryparedoxin peroxidase, oxidized form",SOLUTION NMR,,A,167,2,1.0994508159160614,0.01906163633839937,1.0994508159160614,0.01906163633839937,1.02,1.02,0.3293,100
MOUSE_GPX6_level11_chainA,2RM6,"Glutathione peroxidase-type tryparedoxin peroxidase, reduced form",SOLUTION NMR,,A,167,1,1.136740517616272,0.014605959193664586,1.136740517616272,0.014605959193664586,1.0533,1.0533,0.3114,100
MOUSE_GPX6_level11_chainA,2RM6,"Glutathione peroxidase-type tryparedoxin peroxidase, reduced form",SOLUTION NMR,,A,167,2,1.1493167066574097,0.016232540477264044,1.1493167066574097,0.016232540477264044,1.0842,1.0842,0.3054,100
MOUSE_GPX6_level11_chainA,3DWV,"Glutathione peroxidase-type tryparedoxin peroxidase, oxidized form",X-RAY DIFFRACTION,,A,163,1,0.8234512740373612,0.014142103275959123,0.8234512740373612,0.014142103275959123,0.7759,0.7759,0.4908,100
MOUSE_GPX6_level11_chainA,3DWV,"Glutathione peroxidase-type tryparedoxin peroxidase, oxidized form",X-RAY DIFFRACTION,,A,163,2,0.8184428095817566,0.015038481574994185,0.8184428095817566,0.015038481574994185,0.7719,0.7719,0.5337,100
